,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61
,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61
,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0,0.007128000259399414,0.02102041244506836,0.0746307373046875,0.16790175437927246,0.4360630512237549,1.4764087200164795,2.3699421882629395,3.545680522918701,5.065446138381958,6.78175950050354,9.183902025222778,12.408657550811768,17.699618816375732,22.33901834487915,22.553182363510132
1,0.006503105163574219,0.01929163932800293,0.05583691596984863,0.15415501594543457,0.48399829864501953,1.4755916595458984,2.3263750076293945,3.464987277984619,4.945128917694092,6.695215940475464,8.943904399871826,12.723923683166504,17.14995241165161,23.76570415496826,20.537967920303345
2,0.006497859954833984,0.021342039108276367,0.05649209022521973,0.1453549861907959,0.45210933685302734,1.4594998359680176,2.3221194744110107,3.5065009593963623,4.8900370597839355,6.728488445281982,9.10409665107727,12.866998195648193,17.939682483673096,22.312609672546387,21.641443252563477
3,0.006421327590942383,0.0193021297454834,0.05659627914428711,0.1463606357574463,0.352400541305542,1.5186645984649658,2.3307058811187744,3.490886688232422,4.908847093582153,6.7708587646484375,9.001522779464722,12.749263286590576,14.759782552719116,19.439852237701416,25.147196769714355
4,0.006282806396484375,0.01862812042236328,0.10169529914855957,0.14393377304077148,0.3510274887084961,1.4514503479003906,2.350098133087158,3.495304822921753,4.915076732635498,6.742844343185425,9.224072933197021,12.576634883880615,15.260047674179077,19.020846128463745,24.397181749343872
5,0.0043239593505859375,0.01891946792602539,0.08026432991027832,0.1459193229675293,0.35791945457458496,1.4499142169952393,2.337442636489868,3.4704525470733643,4.967292785644531,6.9428582191467285,9.102062463760376,12.861486196517944,15.502519130706787,18.204651594161987,23.499417304992676
6,0.0040590763092041016,0.018665552139282227,0.09219241142272949,0.1461176872253418,0.3767697811126709,1.4312210083007812,2.343947649002075,3.706760883331299,4.926846265792847,6.633111953735352,9.208226919174194,12.734328269958496,16.354745626449585,18.89148449897766,23.34693217277527
7,0.004579782485961914,0.02060985565185547,0.05518484115600586,0.14722847938537598,0.3646852970123291,1.4142189025878906,2.380099058151245,3.880910634994507,4.917524099349976,6.736928701400757,9.109030723571777,12.944557428359985,15.707378625869751,15.878578901290894,22.721402168273926
8,0.006134510040283203,0.02056288719177246,0.05963850021362305,0.14401745796203613,0.546576738357544,1.5954229831695557,2.3414862155914307,3.5329248905181885,4.831418037414551,6.629656553268433,9.283093690872192,12.638569116592407,16.441349744796753,16.823017358779907,25.670485973358154
9,0.004070758819580078,0.025867462158203125,0.05623602867126465,0.14425063133239746,0.6994948387145996,1.578092336654663,2.3348114490509033,3.761763334274292,4.87446928024292,6.716299772262573,9.137863636016846,12.870062589645386,16.334625244140625,17.07414960861206,23.440811157226562
